q,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
206 Boulevard PEREIRE 75017 PARIS Paris,48.880461,2.288405,206 Boulevard Pereire 75017 Paris,0.8406984210526315,,housenumber,75117_7258_00206,206,206 Boulevard Pereire,Boulevard Pereire,75017,Paris,"75, Paris, Île-de-France",75117,,,Paris 17e Arrondissement,ok
11 RUE DE REIMS 75013 PARIS Paris,48.828374,2.371458,11 Rue de Reims 75013 Paris,0.8017290909090908,,housenumber,75113_8109_00011,11,11 Rue de Reims,Rue de Reims,75013,Paris,"75, Paris, Île-de-France",75113,,,Paris 13e Arrondissement,ok
37 RUE CHARCOT 75013 PARIS Paris,48.829844,2.369682,37 Rue Charcot 75013 Paris,0.8000814662756597,,housenumber,75113_1786_00037,37,37 Rue Charcot,Rue Charcot,75013,Paris,"75, Paris, Île-de-France",75113,,,Paris 13e Arrondissement,ok
52 RUE MADEMOISELLE 75015 PARIS Paris,48.8433,2.299716,52 Rue Mademoiselle 75015 Paris,0.8292430303030303,,housenumber,75115_5893_00052,52,52 Rue Mademoiselle,Rue Mademoiselle,75015,Paris,"75, Paris, Île-de-France",75115,,,Paris 15e Arrondissement,ok
113 AVENUE CHARLES DE GAULLE 92200 NEUILLY SUR SEINE Hauts-de-Seine,48.881485,2.269683,113 Avenue Charles de Gaulle 92200 Neuilly-sur-Seine,0.7716438842975206,,housenumber,92051_1436_00113,113,113 Avenue Charles de Gaulle,Avenue Charles de Gaulle,92200,Neuilly-sur-Seine,"92, Hauts-de-Seine, Île-de-France",92051,,,,ok
100 Quai DE LA RAPEE 75012 PARIS Paris,48.846279,2.367251,100 Quai de la Rapée 75012 Paris,0.828763488943489,,housenumber,75112_8037_00100,100,100 Quai de la Rapée,Quai de la Rapée,75012,Paris,"75, Paris, Île-de-France",75112,,,Paris 12e Arrondissement,ok
2 RUE DE L EQUERRE 78290 CROISSY SUR SEINE Yvelines,48.876471,2.143942,2 Rue de l'Equerre 78290 Croissy-sur-Seine,0.7998754545454544,,housenumber,78190_0270_00002,2,2 Rue de l'Equerre,Rue de l'Equerre,78290,Croissy-sur-Seine,"78, Yvelines, Île-de-France",78190,,,,ok
6 Rue DE JUVISY 91200 ATHIS MONS Essonne,48.69212,2.382252,6 Rue de Juvisy 91200 Athis-Mons,0.7860998135198134,,housenumber,91027_2820_00006,6,6 Rue de Juvisy,Rue de Juvisy,91200,Athis-Mons,"91, Essonne, Île-de-France",91027,,,,ok
39 AVENUE GEORGES POMPIDOU 92300 LEVALLOIS PERRET Hauts-de-Seine,48.898718,2.281055,39 Avenue Georges Pompidou 92300 Levallois-Perret,0.752014329004329,0.6025281139755766,housenumber,92044_4142_00039,39,39 Avenue Georges Pompidou,Avenue Georges Pompidou,92300,Levallois-Perret,"92, Hauts-de-Seine, Île-de-France",92044,,,,ok
35 RUE ETIENNE MARCEL 93500 PANTIN Seine-Saint-Denis,48.89425,2.404059,35 Rue Etienne Marcel 93500 Pantin,0.6496962032085561,,housenumber,93055_3170_00035,35,35 Rue Etienne Marcel,Rue Etienne Marcel,93500,Pantin,"93, Seine-Saint-Denis, Île-de-France",93055,,,,ok
